id,texto,es_bancarizado,requiere_numero_operacion,permite_banco_ordenante_rfc,permite_cuenta_ordenante,patron_cuenta_ordenante,permite_banco_beneficiario_rfc,permite_cuenta_beneficiario,patron_cuenta_beneficiario,permite_tipo_cadena_pago,requiere_banco_ordenante_nombre_ext,vigencia_desde,vigencia_hasta
01,Efectivo,,,,,,,,,,,2022-01-01,
02,Cheque nominativo,1,,1,1,[0-9]{11}|[0-9]{18},1,1,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",,1,2022-01-01,
03,Transferencia electrónica de fondos,1,,1,1,[0-9]{10}|[0-9]{16}|[0-9]{18},1,1,[0-9]{10}|[0-9]{18},1,1,2022-01-01,
04,Tarjeta de crédito,1,,1,1,[0-9]{16},1,1,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",,1,2022-01-01,
05,Monedero electrónico,1,,1,1,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",1,1,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",,,2022-01-01,
06,Dinero electrónico,1,,1,1,[0-9]{10},,,,,,2022-01-01,
08,Vales de despensa,,,,,,,,,,,2022-01-01,
12,Dación en pago,,,,,,,,,,,2022-01-01,
13,Pago por subrogación,,,,,,,,,,,2022-01-01,
14,Pago por consignación,,,,,,,,,,,2022-01-01,
15,Condonación,,,,,,,,,,,2022-01-01,
17,Compensación,,,,,,,,,,,2022-01-01,
23,Novación,,,,,,,,,,,2022-01-01,
24,Confusión,,,,,,,,,,,2022-01-01,
25,Remisión de deuda,,,,,,,,,,,2022-01-01,
26,Prescripción o caducidad,,,,,,,,,,,2022-01-01,
27,A satisfacción del acreedor,,,,,,,,,,,2022-01-01,
28,Tarjeta de débito,1,,1,1,[0-9]{16},1,1,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",,1,2022-01-01,
29,Tarjeta de servicios,1,,1,1,"[0-9]{15,16}",1,1,"[0-9]{10,11}|[0-9]{15,16}|[0-9]{18}|[A-Z0-9_]{10,50}",,1,2022-01-01,
30,Aplicación de anticipos,,,,,,,,,,,2022-01-01,
31,Intermediario pagos,,,,,,,,,,,2022-01-01,
99,Por definir,,,1,1,\V*,1,1,\V*,1,1,2022-01-01,
